Site,Simulation,WTLUNIT_ROOF,HT_ROOF,CANYON_HWR,WALL_TO_PLAN_AREA_RATIO,TAUX,zd,z0,zd_z0
AU-Pre,BASE,0.5,6.5,0.5,0.4,0.1,4.96,0.08,62.0
US-Bal,BASE,0.5,6.5,0.5,0.18,0.07,4.96,0.02,248.0
US-Wes,BASE,0.5,6.5,0.5,0.59,0.03,4.96,0.13,38.15
AU-Pre,SENS1,0.6,7.8,0.6,0.4,0.07,6.52,0.04,163.0
US-Bal,SENS1,0.6,7.8,0.6,0.18,0.05,6.52,0.01,652.0
US-Wes,SENS1,0.6,7.8,0.6,0.59,0.02,6.52,0.07,93.14
AU-Pre,SENS2,0.6,5.2,0.6,0.4,0.07,4.35,0.02,217.5
US-Bal,SENS2,0.6,5.2,0.6,0.18,0.05,4.35,0.0,inf
US-Wes,SENS2,0.6,5.2,0.6,0.59,0.02,4.35,0.04,108.75
AU-Pre,SENS3,0.4,7.8,0.6,0.4,0.14,5.22,0.21,24.86
US-Bal,SENS3,0.4,7.8,0.6,0.18,0.09,5.22,0.06,87.0
US-Wes,SENS3,0.4,7.8,0.6,0.59,0.04,5.22,0.32,16.31
AU-Pre,SENS4,0.4,5.2,0.6,0.4,0.12,3.48,0.14,24.86
US-Bal,SENS4,0.4,5.2,0.6,0.18,0.08,3.48,0.04,87.0
US-Wes,SENS4,0.4,5.2,0.6,0.59,0.03,3.48,0.22,15.82
